DEBUG 2025-05-17 13:30:34,924 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1746600335.080677
DEBUG 2025-05-17 13:30:34,940 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\template\__init__.py first seen with mtime 1746600335.1377728
DEBUG 2025-05-17 13:30:34,940 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\management\base.py first seen with mtime 1746600335.0832124
DEBUG 2025-05-17 13:30:34,940 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1746600335.1531546
DEBUG 2025-05-17 13:30:34,940 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1746600334.9678154
DEBUG 2025-05-17 13:30:34,940 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1746600334.6603186
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1746600335.1144097
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\asyncio\futures.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\class_management\__init__.py first seen with mtime 1747279770.9515173
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\mail\message.py first seen with mtime 1746600335.0811834
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\asgiref\local.py first seen with mtime 1746600334.1995747
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\__init__.py first seen with mtime 1746600334.3325162
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent\.venv2\Lib\site-packages\_virtualenv.py first seen with mtime 1747224680.5854938
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\urls\conf.py first seen with mtime 1746600335.1464493
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1746600335.1366806
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\app01\admin.py first seen with mtime 1747279770.9358947
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1746600335.1484756
DEBUG 2025-05-17 13:30:34,941 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\middleware\cache.py first seen with mtime 1746600335.1361744
DEBUG 2025-05-17 13:30:34,942 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1746600335.153662
DEBUG 2025-05-17 13:30:34,942 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1746600333.68478
DEBUG 2025-05-17 13:30:34,942 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1746600335.0744212
DEBUG 2025-05-17 13:30:34,942 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1746600335.105957
DEBUG 2025-05-17 13:30:34,942 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\authentication\models.py first seen with mtime 1747416773.938645
DEBUG 2025-05-17 13:30:34,950 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1746600335.0916471
DEBUG 2025-05-17 13:30:34,950 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\encodings\utf_8.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,950 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\utils\safestring.py first seen with mtime 1746600335.153662
DEBUG 2025-05-17 13:30:34,950 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\MySQLdb\_exceptions.py first seen with mtime 1747191209.3620408
DEBUG 2025-05-17 13:30:34,950 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1746600335.0926597
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1746600335.0725174
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\warnings.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\email\header.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\pathlib\_abc.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\asyncio\streams.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\base64.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\_compression.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1746600335.1531546
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\checks\commands.py first seen with mtime 1746600335.0744212
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\numbers.py first seen with mtime 1738658256.0
